rank	candidate_id	title	buyer	deadline	value	currency	band	reasons	scope_dce	term_value_dce	deep_batch
11	TED:539663-2026	Belgium – Custom software development services – Ontwerpen, opstarten en begeleiden van een systeem voor geassisteerd varen en informatiedeling aan boord van een autoveer	Vlaamse Overheid	2027-09-03T09:30:00+02:00			GOOD	software-development	ten en begeleiden van een systeem voor geassisteerd varen aan boord van een autoveer Pagina 1 van 33 Vlaams Gewest Agentschap voor Maritieme Dienstverlening en Kust DAB Vloot Bestek nr. 16EQA/26/051/O Concurrentiegerichte dialoog voor aanname van diensten Selectieleidraad Ontwerpen, opstarten en be…	s ontwikkeld en geïnstalleerd werd. 2. Een lijst van projecten waarbij ‘slimme systemen’ ontwikkeld en geïntegreerd werden. De referenties dienen in de afgelopen periode van maximaal 5 jaar te zijn uitgevoerd: Bestek nr. 16EQA/26/051/O Ontwerpen, opstarten en begeleiden van een systeem voor geassis…	batch-001.json
12	TED:717505-2025	Belgium – IT services: consulting, software development, Internet and support – Migration du système ERP de la SOWAER	SOWAER SA				GOOD	software-development,it-services	ement à ce que le pouvoir adjudicateur ou l’entité adjudicatrice figurant à la partie I ait accès aux documents justificatifs étayant les informations fournies dans les parties III et IV du présent document unique de marché européen aux fins de la procédure de passation de marché mentionnée dans la…	tifs étayant les informations fournies dans les parties III et IV du présent document unique de marché européen aux fins de la procédure de passation de marché mentionnée dans la partie I. Date, lieu et, lorsque cela est requis ou nécessaire, signature(s): Date - Localisation - -27- Signature -28- …	batch-001.json
13	TED:568143-2026	Slovenia – IT services: consulting, software development, Internet and support – Posodobitev merilnih mest na MRP, MP in MT zaradi prenosa podatkov (ponovljeno naročilo)	PLINOVODI, Družba za upravljanje s prenosnim sistemom, d.o.o.	2026-09-09T09:00:00+02:00			GOOD	software-development,it-services	===== FILE: files/RD JN 18 2026_unpacked/ESPD obrazec.xml ===== <?xml version="1.0" encoding="UTF-8" standalone="yes"?> <ns4:QualificationApplicationRequest xmlns="urn:oasis:names:specification:ubl:schema:xsd:CommonBasicComponents-2" xmlns:ns2="urn:oasis:names:specification:ubl:schema:xsd:CommonExt…	===== FILE: files/RD JN 18 2026_unpacked/ESPD obrazec.xml ===== <?xml version="1.0" encoding="UTF-8" standalone="yes"?> <ns4:QualificationApplicationRequest xmlns="urn:oasis:names:specification:ubl:schema:xsd:CommonBasicComponents-2" xmlns:ns2="urn:oasis:names:specification:ubl:schema:xsd:CommonExt…	batch-001.json
14	TED:787674-2025	Belgium – IT services: consulting, software development, Internet and support – Migration du système ERP de la SOWAER	SOWAER SA				GOOD	software-development,it-services	ement à ce que le pouvoir adjudicateur ou l’entité adjudicatrice figurant à la partie I ait accès aux documents justificatifs étayant les informations fournies dans les parties III et IV du présent document unique de marché européen aux fins de la procédure de passation de marché mentionnée dans la…	tifs étayant les informations fournies dans les parties III et IV du présent document unique de marché européen aux fins de la procédure de passation de marché mentionnée dans la partie I. Date, lieu et, lorsque cela est requis ou nécessaire, signature(s): Date - Localisation - -27- Signature -28- …	batch-001.json
15	TED:521920-2026	Belgium – IT services: consulting, software development, Internet and support – Conclusion d'un contrat Enterprise Agreement pour les produits ArcGIS	Institut géographique national	2026-09-07T10:00:00+02:00			GOOD	software-development,it-services	l’utilisation du « e-Procurement » peuvent être trouvées dans le centre d’aide : https://bosa.belgium.be/fr/services/helpdesk-e-procurement. Pendant cette phase de la procédure, l’IGN fera une sélection des demandes de participation soumises sur la base des critères d’exclusion et de sélection ment…	tre pouvoir faire appel à une assistance technique supplémentaire de la part du fabricant ESRI. 1.2.3 Évaluation des besoins en matière de formation et de conseil Dans le cadre de ce marché, l’IGN prévoit de commander un total estimé de 100 jours de formation et de conseil pendant toute la durée du…	batch-001.json
16	TED:592639-2026	Estonia – Printing services – Kõvakaaneliste trükiste tellimine	Tallinna Tehnikaülikool	2026-09-28T03:00:00+00:00	60000.0	EUR	GOOD	printing-services,printing-service	/0 trükk | Paber, sisu: Amber Graphic 90 g/m2 | Paber, kaas: silk 150 g/m2, mattkile | Köide: õmmeldud köide, ümar selg | Tiraaž: 200 | instituudi trükis | 200 trükise hind ilma km-ta | Maht: 200 lk + kaaned | Formaat: 148 x 210 mm | Värvid, sisu: 4/4 trükk | Värvid, kaas: 4/0 trükk | Paber, sisu: …	hic 90 g/m2 | Paber, kaas: silk 150 g/m2, mattkile | Köide: õmmeldud köide, ümar selg | Tiraaž: 200 | instituudi trükis | 200 trükise hind ilma km-ta | Maht: 200 lk + kaaned | Formaat: 148 x 210 mm | Värvid, sisu: 4/4 trükk | Värvid, kaas: 4/0 trükk | Paber, sisu: Arctic silk 130 g/m2 | Paber, kaas…	batch-001.json
17	TED:578214-2026	Germany – IT services: consulting, software development, Internet and support – IT-Supportvertrag an ausgewählten Schulen des Landkreises Lörrach	Landratsamt Lörrach	2026-09-03T02:00:00+00:00			GOOD	software-development,it-services	Zusammenhang mit für andere Beschaffer bestimmten Bauleistungen, Lieferungen oder Dienstleistungen vergibt/abschließt: Nein Zentrale Beschaffungsstelle, die für andere Beschaffer bestimmte Lieferungen und/oder Dienstleistungen erwirbt: Nein Verfahren Zweck Rechtsgrundlage Richtlinie 2014/24/EU Besc…	ig (wie den Datenmengen, der dem Nutzer zur Verfügung stehenden Technik und der Internetbandbreite), daher trägt der Hersteller (Administration Intelligence AG) und der Staatsanzeiger keine Verantwortung für die rechtzeitige Übermittlung eines Angebots. Hierfür hat der Nutzer selbst Sorge zu tragen…	batch-001.json
18	TED:750809-2024	Lithuania – Software development services – RRF „Socialinių paslaugų prieinamumo didinimas“ programinės įrangos kūrimo ir Socialinės paramos šeimai informacinės sistemos programinės įrangos vystymo paslaugos	Lietuvos Respublikos socialinės apsaugos ir darbo ministerija	2029-12-11T02:00:00+00:00	3553719.01	EUR	GOOD	software-development	ų. Ekonominės veiklos vykdytojai oficialiai sutinka perkančiąjai organizacijai ar perkančiajam subjektui, nurodytam I dalyje, leisti susipažinti su dokumentais, kuriais patvirtinama informacija, pateikta šio Europos bendrojo viešųjų pirkimų dokumento III ir IV dalyse, kiek tai susiję su pirkimu, nu…	yje, leisti susipažinti su dokumentais, kuriais patvirtinama informacija, pateikta šio Europos bendrojo viešųjų pirkimų dokumento III ir IV dalyse, kiek tai susiję su pirkimu, nurodytu I dalyje. Data, vieta ir, jei reikia ar būtina, parašas (-ai): Data - Vieta - Parašas -26- ===== FILE: files/2737_…	batch-001.json
19	TED:539378-2026	Germany – Training aids and devices – Lieferung, Installation, Inbetriebnahme und didaktische Integration eines Diagnoselabors mit Trainingsständen für die Kfz-Werkstatt eines Berufskollegs der Stadt Bielefeld	Stadt Bielefeld - Amt für Zentrale Leistungen	2026-08-27T23:59:59+02:00			GOOD	it-training	ng zugelassen! Ende der Bindefrist (Datum) 15.10.2026 zusätzlich erforderliche Unterlagen s. Nachweisübersicht (S. 4) Das Vergabeverfahren erfolgt nach 75a GO UVgO GWB/VgV Stadt Bielefeld | 190.1 | 33597 Bielefeld Stadt Bielefeld Die Oberbürgermeisterin Amt für Zentrale Leistungen Werner-Bock-Str. …	S 2026 0263 Li eferung, Installation, Inbetriebnahme und didaktische Integration eines digitalen Diagnoselabors für die Kfz-Werkstatt der Verkehrsabteilung eines Berufskollegs der Stadt Bielefeld Eigenerklärungen zu Eignungsanforderungen (siehe Teil II der Leistungsbeschreibung) 1. Ich bin/wir sind…	batch-001.json
20	US-SAM:87866d350fdd400199e36118992c68bc	Notice of Intent to Award Sole Source - O'Reilly Online Learning	DEPT OF DEFENSE	2026-08-28T17:00:00+00:00			GOOD	e-learning	package for approval of the instant Justification. This applies to Justification staff packages that are submitted for review and approval at a level above the contracting officer. The predecessor Justification will be used as a reference document by the approving official. Sign and Save Procedure …	signature(s) above, I (we) certify that any supporting data contained herein, which is my (our) responsibility, is both accurate and complete. Remove the Guidance pages below. ===== FILE: files/NOTICE_OF_INTENT_TO_AWARD_SOLE_SOURCE-FY26-_Online_Learning.pdf ===== NOTICE OF INTENT TO AWARD SOLE SOUR…	batch-001.json
21	TED:573450-2026	Romania – Miscellaneous software development services and computer systems – Servicii de dezvoltare și implementare a Sistemului Informatic Integrat inclusiv software de bază și instruire utilizatori” în cadrul proiectului ”Date și Informații Statistice Tehnol	INSTITUTUL NATIONAL DE STATISTICA	2026-09-10T03:00:00+00:00	67200000.0	RON	GOOD	software-development	și implementarea Sistemului Informatic Integrat inclusiv software de bază (cu instruire utilizatori inclusă) care să asigure, în mod explicit, standardizarea formatelor de date și a mecanismelor de schimb de informații (ex: XML/XSD, JSON, iXBRL sau echivalent), funcționarea ca platformă unică de co…		batch-002.json
22	TED:585176-2026	Slovenia – IT services: consulting, software development, Internet and support – Vzdrževanje in nadgradnja novega IS inšpektorjev UVHVVR (N-ISI)	MINISTRSTVO ZA KMETIJSTVO, UPRAVA REPUBLIKE SLOVENIJE ZA VARNO HRANO, VETERINARSTVO IN VARSTVO RASTLIN	2026-09-10T11:00:00+02:00			GOOD	software-development,it-services			batch-002.json
23	TED:534097-2026	Latvia – Digital printing services – Multifunkcionālo drukas iekārtu noma	Rīgas Stradiņa universitāte	2026-09-09T02:00:00+00:00			GOOD	printing-services,printing-service			batch-002.json
24	US-SAM:6092b064705943d08069ff7ce87cb428	Academic Instructor and Tutor services in support of Naval Service Training Command�s Future Sailor Preparatory Program at Recruit Training Command (RTC) Great Lakes Illinois	DEPT OF DEFENSE	2026-08-28T14:00:00+00:00			GOOD	it-training	VSUP) Fleet Logistics Center Norfolk (FLCN) to evaluate the aforementioned contractor’s past performance on previous contracts and efforts as it relates to the probability of successful accomplishment of the work required by the Government, relative to the award of a contract resulting from the sol…	al Classroom Instruction. to include but not limited to an Instructor Guide, and revised Instructor Guide that has been reviewed and approved by the LSO and/or COR. The course of instruction (Blocks of instruction) shall mirror that of classroom instruction; however, may be modified, to accommodate…	batch-002.json
25	TED:580336-2026	Poland – IT services: consulting, software development, Internet and support – Rozbudowa i integracja systemów sprzedaży i kontroli oraz portalu pasażera wraz z zakupem niezbędnej infrastruktury	Gmina Miasto Rzeszów - Urząd Miasta Rzeszowa	2026-09-02T02:00:00+00:00			GOOD	software-development,it-services			batch-002.json
26	PL-BZP:08df028a-6565-5f01-ab56-940001e5a751	Audyt bezpieczeństwa informacji obejmujący ocenę Systemu Zarządzania Bezpieczeństwem Informacji, dostawa pakietu szkoleń e-learningowych oraz szkolenia stacjonarne z zakresu bezpieczeństwa	Podlaski Urząd Wojewódzki w Białymstoku	2026-09-02T08:00:00+00:00			GOOD	e-learning			batch-002.json
27	TED:573053-2026	Czechia – IT services: consulting, software development, Internet and support – Provozní a odborná podpora procesu řízení konfigurací	Státní pokladna Centrum sdílených služeb, s. p.	2026-09-08T02:00:00+00:00	10000000.0	CZK	GOOD	software-development,it-services			batch-002.json
28	TED:426610-2026	Latvia – Software development services – Darba laika plānošanas rīka ieviešana un uzturēšana	Neatliekamās medicīniskās palīdzības dienests				GOOD	software-development			batch-002.json
29	IE:8841473	Preliminary Market Consultation - Digital Marketing Expertise to Support Delivery of Stop Food Waste	Environmental Protection Agency	2026-09-08T14:00:00+01:00		EUR	GOOD	digital-marketing	== FILE: files/1320_8841473_unpacked/1_Preliminary Market Consultation Digital Marketing Services for Stop Food Waste.docx ===== PRIOR INFORMATION NOTICE With the purpose of inviting PRELIMINARY MARKET CONSULTATION INTRODUCTION This document is not a call for competition or an invitation to tender.…	exercise does not bias any future competitions Note Please note that information relating to this Preliminary Market Consultation, including clarifications and changes, will be published on the Irish Government Procurement Opportunities Portal www.etenders.gov.ie. Registration is free of charge and…	batch-002.json
30	TED:500341-2026	Bulgaria – Event services – Organisation of public events, communication campaigns and production of promotional materials for the communication needs of the EC Representation in Bulgaria	European Commission, DG COMM - Communication	2026-09-08T23:59:59+03:00	6000000.0	EUR	GOOD	video-production	of damage or payment of fines or of any taxes or social security contributions. Without prejudice to the assessment of the authorising officer responsible, the person or entity shall submit remedial measures that have been assessed by an external independent auditor or have been considered sufficie…	iament and of the Council; | | (v) terrorist offences or offences related to terrorist activities as defined in Articles 3 to 12 of Directive (EU) 2017/541 of the European Parliament and of the Council, or inciting, aiding, abetting or attempting to commit such offences, as referred to in Article 1…	batch-002.json
31	US-SAM:ae68a8700983483b815ed1322b7f4f76	BOEM DATA MANAGEMENT SUPPORT	INTERIOR, DEPARTMENT OF THE	2026-09-15T14:00:00+00:00			GOOD	software-development,cloud-services	RTANT: This is a request for information and quotations furnished are not offers. If you are unable to quote, please so indicate on this form and return it to the address in Block 5a. This request does not commit the Government to pay any costs incurred in the preparation of the submission of this …		batch-003.json
32	US-SAM:7af2ede457af4c14af376ef98cf27f1e	Market Survey - Controller Training Solutions (CTS) II	TRANSPORTATION, DEPARTMENT OF	2026-09-11T20:00:00+00:00			GOOD	landing-page,software-development,e-learning,lms,training-services,training-course	===== FILE: files/CTS_II_FFP_Section_C_Draft_081826.pdf ===== Controller Training Solutions II (CTS II) Section C Statement of Work SECTION C – DESCRIPTION/SPECIFICATIONS/ WORK STATEMENT Table of Contents C.1. Introduction ............................................................................…		batch-003.json
33	US-SAM:47ed1835bbdf48e78cef71c76d7f0098	6350--630-26-4-3085-0522 - VA Police Security System Upgrade (VA-26-00085372)	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-31T16:00:00+00:00			GOOD	software-development,system-integration	capability statements will not be accepted or reviewed. Your response must address capabilities specific to the services required in the attached PD and must include the following: Interested Vendors shall at a minimum, provide the following information in the initial paragraph of the submission: N…	ion systems for all individuals. The Contractor shall ensure that all Contractor delivered applications and systems integrate with the VA Master Person Index (MPI) for identity traits to include the use of the ICN as the Primary Identifier. The Contractor solution may only use a Social Security Num…	batch-003.json
34	US-SAM:a6de63ce78ec4f28b250d3d3c8cf34de	Request for Information (RFI) - Login.gov Device Fingerprinting Solution	GENERAL SERVICES ADMINISTRATION	2026-09-11T14:00:00+00:00			GOOD	web-application	===== FILE: files/47QPCA26RFI01_RFI-Att.1-Draft-Reqs_2026-08-24.pdf ===== Draft General Services Administration Federal Acquisition Service Technology Transformation Services 1800 F St NW | Washington, DC | 20405 Login.gov Fingerprinting Solution DRAFT Requirements 1.1 Core Technical Requirements 1…	on must enable rapid deployment with minimal engineering effort: ● Comprehensive documentation with code examples for all supported platforms ● Sandbox/testing environment available without production commitment ● State your solution’s SLA for response timeframes during business hours for developer…	batch-003.json
35	US-SAM:3d68afbd7c374c79b291d06182bc4cfb	BRAND NAME ONLY: Atlassian Enterprise Jira Software and Professional Services	DEPT OF DEFENSE	2026-08-31T15:00:00+00:00			GOOD	software-development,training-course,software-resale	pts from scratch. Furthermore, ServiceNow is typically priced and scoped as a massive IT Service Management (ITSM) platform, which far exceeds the targeted Agile and HR use cases required by this descoped action, leading to unnecessary licensing bloat. • Smartsheet / Generic Work Management Tools: …	. The research process included the following actions: • Review of Mandatory Sources and Federal Supply Schedules: Initial market research involved a review of the DoD Enterprise Software Initiative (ESI) catalog on NASA SEWP V to establish a verifiable baseline for software pricing for the exact 5…	batch-003.json
36	US-SAM:418a346437ac4280bf58a8e84f98463a	AJ12--Intent to Sole Source Novogene Inc. RNA Sequencing for VA Palo Alto Health Care System	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-31T19:00:00+00:00			GOOD	transcription	SFTP • All work performed at contractor’s Sacramento, CA laboratory This work supports ongoing transcriptional‑level disease biology research requiring advanced single‑cell resolution. Estimated value: $18,171.00 (Firm‑Fixed Price) Period of Performance One (1) year from date of award, consistent w…	ecialized 10x Genomics single‑cell RNA sequencing, including: • Local same‑day pickup and immediate processing of fresh human samples to preserve RNA integrity • Sample QC • 10x Genomics library preparation • Sequencing on the Ultima UG100 platform targeting 400 million raw reads per sample • Full …	batch-003.json
37	US-SAM:4aab87b410d04aae8819a52317df5220	Guatemala - Media Monitoring Service	STATE, DEPARTMENT OF	2026-09-11T14:00:00+00:00			GOOD	transcription	===== FILE: files/19GT5026Q0082_-_MediaMonitoringService.pdf ===== August 26, 2026 Dear Prospective Offeror: Subject: Request for Quotes 19GT5026Q0082 Enclosed is a Request for Quotes (RFQ) for Media M onitoring Services for the US Embassy Guatemala. If you would like to submit a quotation, follow …	ions of Video/Audio Upon Request Sporadic / As Requested Up to 20 per year 0011 Articles Behind Paywalls – Local and International Outlets Sporadic / As Requested 1** 0012 Customer Service / 24/7 Support Regular / Included Service 1** Base Year Total * 260 working days are an estimated annual quant…	batch-003.json
38	TED:380377-2026	France – Vocational training services – Certification « Ambassadeur de Transition écologique en entreprise » (ATEE) - Organisation des évaluations et des actions de formation associées à la certification	OPCO ATLAS			EUR	GOOD	e-learning,training-services	vision, pour la certification : - des enjeux clés des activités visées - de leur valeur d’usage sur le marché du travail 1.c Besoin territorial Le candidat présente sa connaissance du besoin d’ouverture de sessions sur le territoire du lot. - Il présente son ancrage territorial - Il argumente la pe…		batch-003.json
39	US-SAM:08067d93b7ac49ad8b99e3cd6b1f34c5	Hospital Data Acquisition: American Hospital Association (AHA) Annual Survey Database, 2025	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-09-03T16:00:00+00:00			GOOD	web-portal	cs of approximately 6,500 hospitals including organizational structure, facility and service lines, inpatient and outpatient utilization, physician arrangements, staffing, corporate and purchasing affiliations, teaching status, geographic indicators, and cross-reference identifiers (e.g., Medicare …		batch-003.json
40	TED:468315-2026	France – Software maintenance and repair services – Maintien en condition opérationnelle des systèmes radar des Centres Régionaux Opérationnels de Surveillance et de Sauvetage (CROSS) de la Manche	DGAMPA	2026-08-31T02:00:00+00:00	500000.0	EUR	GOOD	software-maintenance	ded. Document title changed. D 2004-12-17 Various corrections implemented E 2005-01-18 Reinforced antennas added. “Turtle” gearbox added. F 2009-08-03 Updated antenna types. Added 4.0 kW and 4.6 kW turning units. Added tightening torques. Updated docu- ment references. Transferred to FrameMaker. G …	rmore, the MTI function includes compensation for own movement and an advanced, clutter-adaptive MTI filter that suppresses clutter with low velocity e.g. rain showers. After the MTI the CFAR, Area CFAR, Sensitivity limiter and Combination & Integra- tion processing is applied. • Thresholding In th…	batch-003.json
41	TED:425617-2026	Belgium – Public relations services – Support for the organisation of events and other communication and information activities of the European Parliament Liaison Office in Spain	European Parliament, COMM - Directorate-General for Communication	2026-09-09T23:59:59+02:00	2000000.0	EUR	GOOD	public-relations	sons within the ownership and control structure and beneficial owners. It must also provide the following evidence concerning the person itself and concerning the natural or legal persons on whose capacity the person intends to rely, or a subcontractor and concerning the natural or legal persons wh…	ropean Parliament and of the Council ; | | (v) terrorist offences or offences related to terrorist activities, as defined in Articles 3 to 12 of Directive (EU) 2017/541 of the European Parliament and of the Council55, or inciting, aiding, abetting or attempting to commit such offences, as referred …	batch-004.json
42	TED:511327-2026	France – Public relations services – Gestion des relations medias, presse et influence	ASS. FESTIVAL INTERNATIONAL DES SERIES	2026-09-07T02:00:00+00:00			GOOD	public-relations	ourrait intervenir sur les enjeux RSE ou les retombées économiques, la Directrice de la communication sur les stratégies de communication et de rayonnement, ou encore la Directrice de la production sur les coulisses d'un événement de cette ampleur. Concernant les partenaires, l'enjeu est différent …	l'issue de chaque édition ? Que Séries Mania est l'événement mondial incontournable consacré aux séries. Par ailleurs, nous souhaiterions que toute couverture médiatique d'une série passée par Séries Mania, qu'elle ait été primée ou non, mentionne systématiquement le festival, avec la formule « En …	batch-004.json
43	TED:536621-2026	Ireland – Public relations services – Public Relations Agency Services - USA (West Coast)	IDA Ireland	2026-08-28T12:00:00+01:00	850000.0	EUR	GOOD	public-relations	ctual rights in relation to IDA Ireland will exist unless and until a Contract has been executed by or on behalf of IDA Ireland. Tenderers are recommended to read the Document(s) thoroughly and are advised to follow the instructions outlined in the Documents prior to submitting their Tender. These …	ueries (see Sections 1.4 and 2.7 of the RFT). Any suggestions/requests submitted in a Tender response cannot be considered at that stage of the process. Furthermore, any assumptions or statements submitted with a Tender may disqualify the Tender resulting in its elimination from the Competition (se…	batch-004.json
